marital-status,workclass
Divorced,Private
Never-married,Private
Married-civ-spouse,Private
Married-civ-spouse,State-gov
Never-married,State-gov
Never-married,State-gov
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Never-married,Private
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Self-emp-not-inc
Widowed,Self-emp-not-inc
Never-married,Private
Never-married,Private
Widowed,Private
Married-civ-spouse,Private
Married-civ-spouse,Federal-gov
Never-married,Local-gov
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-inc
Widowed,Private
Married-civ-spouse,Private
Divorced,Local-gov
Married-civ-spouse,Private
Never-married,
Widowed,Self-emp-not-inc
Never-married,Self-emp-not-inc
Married-civ-spouse,Local-gov
Married-civ-spouse,Private
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Never-married,State-gov
Married-civ-spouse,Private
Married-civ-spouse,Private
Divorced,Private
Never-married,Private
Never-married,Private
Divorced,Self-emp-not-inc
Never-married,
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Separated,Self-emp-not-inc
Separated,Self-emp-inc
Never-married,Local-gov
Married-civ-spouse,Local-gov
Never-married,Private
Never-married,Private
Married-civ-spouse,State-gov
Divorced,Local-gov
Never-married,State-gov
Never-married,Federal-gov
Married-civ-spouse,Self-emp-inc
Married-civ-spouse,Private
Married-civ-spouse,
Divorced,Self-emp-not-inc
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Divorced,Local-gov
Widowed,Private
Never-married,State-gov
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Never-married,
Never-married,Private
Widowed,Private
Divorced,Private
Never-married,Private
Never-married,Private
Never-married,
Never-married,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-spouse-absent,Private
Never-married,Private
Widowed,
Divorced,Private
Married-civ-spouse,State-gov
Married-civ-spouse,
Married-civ-spouse,Self-emp-not-inc
Divorced,Private
Married-civ-spouse,Private
Never-married,State-gov
Married-civ-spouse,Self-emp-inc
Never-married,Local-gov
Married-civ-spouse,Local-gov
Married-civ-spouse,Private
Married-civ-spouse,Private
Separated,Local-gov
Widowed,Private
Married-civ-spouse,Private
Married-civ-spouse,
Divorced,Private
Married-civ-spouse,Private
Never-married,
Never-married,Private
Married-civ-spouse,Local-gov
Married-civ-spouse,Private
Never-married,Federal-gov
Married-civ-spouse,Private
Married-civ-spouse,Federal-gov
Married-civ-spouse,Self-emp-not-inc
Never-married,Private
Never-married,Private
Married-spouse-absent,
Divorced,Private
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Self-emp-inc
Widowed,Private
Married-civ-spouse,State-gov
Married-civ-spouse,Private
Never-married,Private
Divorced,Private
Divorced,Private
Never-married,Private
Divorced,Private
Divorced,Private
Divorced,Private
Married-civ-spouse,Local-gov
Never-married,Private
Never-married,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Local-gov
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Local-gov
Never-married,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-inc
Widowed,Local-gov
Never-married,Private
Divorced,Local-gov
Married-civ-spouse,Private
Never-married,Private
Divorced,Local-gov
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-inc
Married-civ-spouse,
Married-civ-spouse,State-gov
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-spouse-absent,State-gov
Never-married,Self-emp-not-inc
Never-married,Private
Divorced,Private
Widowed,Private
Married-civ-spouse,Private
Married-civ-spouse,
Married-civ-spouse,Private
Married-civ-spouse,Private
Never-married,Federal-gov
Separated,Private
Never-married,Private
Never-married,Private
Never-married,Private
Never-married,Private
Never-married,Local-gov
Married-civ-spouse,Private
Never-married,State-gov
Widowed,Local-gov
Married-civ-spouse,Private
Never-married,Private
Divorced,Private
Married-civ-spouse,Private
Divorced,Private
Never-married,Federal-gov
Never-married,Private
Married-civ-spouse,Private
Never-married,Private
Divorced,Private
Never-married,Local-gov
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Local-gov
Never-married,Federal-gov
Married-civ-spouse,Private
Divorced,Private
Never-married,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-inc
Separated,State-gov
Married-civ-spouse,Private
Divorced,Local-gov
Never-married,Private
Never-married,Self-emp-not-inc
Married-civ-spouse,Self-emp-not-inc
Divorced,Private
Divorced,Private
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Divorced,Private
Divorced,Private
Married-civ-spouse,Private
Never-married,
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Local-gov
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Self-emp-inc
Married-civ-spouse,Private
Married-civ-spouse,Private
Never-married,Private
Never-married,Self-emp-inc
Divorced,Private
Married-civ-spouse,Private
Widowed,Private
Married-civ-spouse,Self-emp-not-inc
Never-married,Private
Never-married,
Widowed,
Widowed,Private
Married-civ-spouse,Private
Divorced,
Divorced,Private
Widowed,Private
Married-civ-spouse,State-gov
Divorced,State-gov
Married-civ-spouse,Local-gov
Divorced,Private
Married-civ-spouse,Private
Never-married,Local-gov
Married-civ-spouse,Private
Never-married,Private
Never-married,Federal-gov
Married-civ-spouse,Self-emp-not-inc
Married-civ-spouse,Private
Married-civ-spouse,Private
Never-married,
Divorced,Private
Divorced,
Married-civ-spouse,Private
Never-married,Private
Married-civ-spouse,Federal-gov
Married-civ-spouse,Private
Widowed,Private
Never-married,Private
Never-married,Private
Divorced,Private
Never-married,Federal-gov
Divorced,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-inc
Never-married,Private
Married-civ-spouse,Private
Divorced,Private
Married-civ-spouse,Private
Married-civ-spouse,Self-emp-not-inc
Never-married,Private
Married-civ-spouse,Private
Married-civ-spouse,State-gov
Separated,Private
Never-married,Private
Married-civ-spouse,Local-gov
Never-married,Private
Married-civ-spouse,Self-emp-not-inc
