age,hours-per-week
67,60
17,15
31,40
58,40
25,40
59,40
70,40
35,60
28,50
28,45
21,25
30,60
59,40
20,40
45,10
76,12
30,55
54,40
19,30
44,50
31,40
47,40
37,40
59,40
27,40
24,40
49,44
36,60
54,40
44,32
35,60
19,35
71,45
20,40
62,30
35,60
64,40
53,40
30,40
34,39
62,1
21,40
42,40
26,52
43,35
28,35
23,30
56,50
19,24
21,40
30,30
58,40
40,40
21,50
25,40
63,40
50,45
29,45
50,40
27,40
19,40
52,70
33,55
38,50
34,72
49,40
36,55
66,40
46,50
21,44
32,45
24,60
53,40
59,35
20,40
32,48
47,40
37,50
32,55
20,25
46,40
37,45
47,12
27,40
30,40
34,40
26,50
23,25
20,40
21,15
42,40
68,25
41,40
49,20
31,40
66,30
58,40
34,55
63,40
80,30
52,40
56,40
27,40
49,40
73,11
59,40
33,45
39,65
33,35
52,40
30,45
66,40
46,40
57,45
19,35
31,25
43,40
51,50
30,40
29,40
64,40
69,40
22,40
17,20
25,15
41,40
63,40
23,40
33,40
23,40
18,8
37,68
32,20
36,35
31,30
55,20
26,35
55,40
46,40
26,48
35,40
47,40
23,40
29,40
36,55
36,60
23,33
51,45
32,40
55,48
18,16
50,48
20,35
23,40
32,99
58,40
37,40
29,20
31,45
19,40
63,35
34,40
33,8
47,60
32,50
65,29
42,72
26,40
38,40
54,40
43,35
27,40
39,56
55,62
42,50
62,4
30,40
28,40
27,20
57,40
53,40
20,40
26,40
19,35
23,43
44,40
43,60
65,25
55,60
17,15
56,45
43,40
37,45
40,40
27,40
60,45
20,40
69,40
63,21
42,48
19,40
26,40
34,99
66,40
40,50
26,30
24,50
50,60
34,20
41,50
49,30
24,40
55,35
36,45
31,21
56,40
42,50
23,30
46,35
40,30
44,50
27,55
21,40
58,50
60,35
40,40
19,40
27,40
41,40
32,40
47,48
50,50
21,37
18,16
24,40
38,40
45,40
69,20
32,70
21,32
19,40
45,38
64,30
28,45
41,28
49,75
59,40
50,40
58,40
46,50
38,50
38,40
28,5
25,40
29,55
33,40
33,40
30,40
36,50
22,8
35,40
56,40
40,45
27,40
43,35
38,40
39,45
20,35
32,35
43,40
41,40
39,40
32,36
28,45
24,36
51,40
38,40
23,40
46,40
48,55
43,50
17,24
41,20
30,40
25,40
26,40
48,40
48,40
51,40
31,60
24,40
58,40
36,40
40,49
67,40
47,40
39,50
35,50
22,40
45,40
25,48
21,25
55,40
26,45
38,35
44,40
43,25
18,15
35,70
31,30
53,40
49,40
28,30
42,45
24,40
61,16
26,40
53,40
18,40
51,35
33,40
58,25
19,22
32,60
63,30
69,3
43,50
34,50
38,40
40,60
44,50
59,48
35,40
48,40
22,35
44,40
36,40
51,52
34,40
34,60
62,30
22,40
37,35
22,20
24,36
72,40
45,40
42,40
30,35
35,55
37,40
45,40
20,55
40,46
57,20
45,20
31,40
21,40
29,40
29,40
41,40
27,40
69,50
36,45
76,7
42,60
42,40
26,75
61,40
43,50
30,45
55,60
50,50
34,40
33,40
19,35
32,50
60,52
56,60
66,30
22,35
36,50
56,50
19,20
21,40
40,48
35,48
62,40
45,40
60,40
59,40
36,50
35,20
40,40
32,40
41,60
52,8
63,40
37,40
29,40
17,6
22,40
29,40
21,20
73,40
33,40
21,40
24,40
50,50
56,44
30,40
50,40
55,40
53,40
80,35
58,40
36,40
22,40
66,40
61,40
32,55
